project_title,project_url,university_name,supervisors_info,applications_info
PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship - Engineering Research at Edge Hill University,/phds/project/graduate-teaching-assistant-gta-phd-studentship-engineering-research/?p152264,Edge Hill University,Supervisor: Prof RS Sheriff,19 January 2024
PhD Research Project: Psychology: Fully Funded Coleg Cymraeg Cenedlaethol and Swansea Welsh Medium PhD Scholarship: How do Welsh-English bilinguals use and switch their languages in interaction with other bilinguals? at Swansea University,/phds/project/psychology-fully-funded-coleg-cymraeg-cenedlaethol-and-swansea-welsh-medium-phd-scholarship-how-do-welsh-english-bilinguals-use-and-switch-their-languages-in-interaction-with-other-bilinguals/?p166415,Swansea University,Supervisor: Prof J Tree,Open Day(s)
PhD Research Project: Excited electronic states in Photomedicine at Heriot-Watt University,/phds/project/excited-electronic-states-in-photomedicine/?p166414,Heriot-Watt University,Supervisor: Dr M Paterson,2 February 2024
PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship - Educational Research at Edge Hill University,/phds/project/graduate-teaching-assistant-gta-phd-studentship-educational-research/?p152263,Edge Hill University,Supervisor: Dr C Lewis,19 January 2024
PhD Research Project: Musculoskeletal Health in Undergraduate Dance Students in a conservatoire setting at Imperial College London,/phds/project/musculoskeletal-health-in-undergraduate-dance-students-in-a-conservatoire-setting/?p166413,Imperial College London,Supervisor: Dr R Abel,5 January 2024
PhD Research Project: Through-thickness reinforcement compatible conductive polymer filaments PhD at Cranfield University,/phds/project/through-thickness-reinforcement-compatible-conductive-polymer-filaments-phd/?p166412,Cranfield University,"Supervisors: Dr David Ayre, Dr GN Neale",14 May 2024
PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship - Computer Science and Informatics at Edge Hill University,/phds/project/graduate-teaching-assistant-gta-phd-studentship-computer-science-and-informatics/?p152260,Edge Hill University,Supervisor: Prof E Pereira,19 January 2024
PhD Research Project: Virtual Engagement: The Impact of Avatars on Metaverse Retailing at University of Bradford,/phds/project/virtual-engagement-the-impact-of-avatars-on-metaverse-retailing/?p166411,University of Bradford,"Supervisors: Dr A Ueno, Dr R Trivedi, Dr SMF Padela",Year round applications
PhD Research Project: Investigating the role of non-thermal chemistry in medicine via the development of a novel translational spectrometer at Durham University,/phds/project/investigating-the-role-of-non-thermal-chemistry-in-medicine-via-the-development-of-a-novel-translational-spectrometer/?p166410,Durham University,Supervisor: Dr J A Gibbard,5 February 2024
PhD Research Project: Assembly of porous organic crystalline materials for sustainable separation technologies at Heriot-Watt University,/phds/project/assembly-of-porous-organic-crystalline-materials-for-sustainable-separation-technologies/?p166409,Heriot-Watt University,"Supervisors: Dr M A L Little, Dr F Vilela",Year round applications
PhD Research Project: Graduate Teaching Assistant (GTA) PhD Studentship - Business and Management Research at Edge Hill University,/phds/project/graduate-teaching-assistant-gta-phd-studentship-business-and-management-research/?p152257,Edge Hill University,Supervisor: Prof P Wankhade,19 January 2024
PhD Research Project: Deciphering Surface Communication in Nematodes: A Bioinformatics and Mass Spectrometry Approach at University of Nottingham,/phds/project/deciphering-surface-communication-in-nematodes-a-bioinformatics-and-mass-spectrometry-approach/?p166408,University of Nottingham,"Supervisors: Dr V Chauhan, Dr D H Kim, Dr D Scurr",22 December 2023
PhD Research Project: Sustainable composites based on vitrimer matrices PhD at Cranfield University,/phds/project/sustainable-composites-based-on-vitrimer-matrices-phd/?p166407,Cranfield University,Supervisor: Dr A Skordos,15 May 2024
PhD Research Project: Understanding the molecular basis of piRNA-directed DNA methylation in the mammalian germline at University of Edinburgh,/phds/project/understanding-the-molecular-basis-of-pirna-directed-dna-methylation-in-the-mammalian-germline/?p166406,University of Edinburgh,Supervisor: Prof D O'Carroll,17 January 2024
PhD Research Project: Framework and Standards for Forensic Practitioners for Authentication of Potential Synthetic Media at Liverpool John Moores University,/phds/project/framework-and-standards-for-forensic-practitioners-for-authentication-of-potential-synthetic-media/?p166405,Liverpool John Moores University,"Supervisors: Dr S Chandler-Crnigoj, Dr K Jones, Dr H Burrell",15 December 2023
PhD Research Project: Patient preferences for treatment of Sjögren’s disease at University of Birmingham,/phds/project/patient-preferences-for-treatment-of-sj-gren-s-disease/?p159657,University of Birmingham,"Supervisors: Dr M Falahee, Prof B Fisher, Prof S Bowman, Prof A Filer",1 March 2024
PhD Research Project: Reversible manufacture of continuous fibre composites PhD at Cranfield University,/phds/project/reversible-manufacture-of-continuous-fibre-composites-phd/?p166404,Cranfield University,Supervisor: Dr A Skordos,15 May 2024
PhD Research Project: NPL-Imperial iCASE studentship: Characterising the performance of low loading electrodes for hydrogen technologies at Imperial College London,/phds/project/npl-imperial-icase-studentship-characterising-the-performance-of-low-loading-electrodes-for-hydrogen-technologies/?p166403,Imperial College London,"Supervisors: Prof A Kucernak, Dr GS Smith",7 January 2024
PhD Research Project: Investigation of Zanthoxylum armatum DC (Nepalese pepper) in healthy humans (Ref: RDFC23/HLS/PSY/JACKSON) at Northumbria University,/phds/project/investigation-of-zanthoxylum-armatum-dc-nepalese-pepper-in-healthy-humans-ref-rdfc23-hls-psy-jackson/?p166402,Northumbria University,"Supervisors: Dr P Jackson, Dr J Rajsic",11 January 2024
PhD Research Project: Optimising RGD-integrin mimics as a novel therapeutic approach in diabetes at University of Leeds,/phds/project/optimising-rgd-integrin-mimics-as-a-novel-therapeutic-approach-in-diabetes/?p166401,University of Leeds,"Supervisors: Dr M McPhillie, Dr K Simmons",Open Day(s)
PhD Research Project: Deep Learning and Explainable Artificial Intelligence for Flood Prediction (FAC23/EE/CIS/WOO) at Northumbria University,/phds/project/deep-learning-and-explainable-artificial-intelligence-for-flood-prediction-fac23-ee-cis-woo/?p159844,Northumbria University,Supervisor: Prof WL Woo,5 January 2024
PhD Research Project: Examining E-sport Cultures at Ulster University - Belfast Campus,/phds/project/examining-e-sport-cultures/?p166400,Ulster University - Belfast Campus,"Supervisors: Dr P Kitchin, Dr C Heffernan",26 February 2024
PhD Research Project: The Impact of the Transition to Further and Higher Education on Health-behaviours (Physical Activity and Sedentary Behaviour) at Ulster University - Magee Campus,/phds/project/the-impact-of-the-transition-to-further-and-higher-education-on-health-behaviours-physical-activity-and-sedentary-behaviour/?p166399,Ulster University - Magee Campus,"Supervisors: Dr L Deery, Dr A Carlin, Dr J J Wilson, Prof M Murphy",26 February 2024
PhD Research Project: Injectable bioadhesive hydrogels for in-situ articular cartilage tissue regeneration at Keele University,/phds/project/injectable-bioadhesive-hydrogels-for-in-situ-articular-cartilage-tissue-regeneration/?p160274,Keele University,Supervisor: Dr P Davoodi,Year round applications
PhD Research Project: The Feminisation of Sport Migration at Ulster University - Belfast Campus,/phds/project/the-feminisation-of-sport-migration/?p166398,Ulster University - Belfast Campus,"Supervisors: Dr K Liston, Dr P Darby, Mr R Adams",26 February 2024
PhD Research Project: Exploring sedentary behaviour and physical activity in Crohn’s disease at Ulster University - Magee Campus,/phds/project/exploring-sedentary-behaviour-and-physical-activity-in-crohn-s-disease/?p166397,Ulster University - Magee Campus,"Supervisors: Dr J J Wilson, Dr C M McClean, Dr L Deery, Dr N Blackburn",26 February 2024
PhD Research Project: New carbazole anti-bacterials at University College London,/phds/project/new-carbazole-anti-bacterials/?p166396,University College London,"Supervisors: Prof H Hailes, Dr T Sheppard, Prof S Bhakta",8 January 2024
PhD Research Project: Artificial intelligence for ultrasonic characterisation of complex materials at University of Southampton,/phds/project/artificial-intelligence-for-ultrasonic-characterisation-of-complex-materials/?p155675,University of Southampton,Supervisor: Dr M Kalkowski,Year round applications
PhD Research Project: Using physics-informed neural networks and data assimilation to predict and improve urban air quality at University of Southampton,/phds/project/using-physics-informed-neural-networks-and-data-assimilation-to-predict-and-improve-urban-air-quality/?p159174,University of Southampton,Supervisor: Dr S Symon,Year round applications
PhD Research Project: Non-linear cochlear mechanics:  Models and measurements at University of Southampton,/phds/project/non-linear-cochlear-mechanics-models-and-measurements/?p166395,University of Southampton,Supervisor: Dr B Lineton,31 August 2024
PhD Research Project: Computational aerodynamics of high speed flow over rough surfaces at University of Southampton,/phds/project/computational-aerodynamics-of-high-speed-flow-over-rough-surfaces/?p166394,University of Southampton,Supervisor: Prof N Sandham,31 August 2024
PhD Research Project: Fluorescent Nanosensors for Biological Measurement at University of Nottingham,/phds/project/fluorescent-nanosensors-for-biological-measurement/?p159810,University of Nottingham,"Supervisors: Dr V Chauhan, Prof J Aylott, Prof P M Williams",22 December 2023
"PhD Research Project: Acute and chronic effects of resistance training muscle length and contraction mode on hamstrings architecture, morphology and neuromuscular function at Ulster University - Belfast Campus",/phds/project/acute-and-chronic-effects-of-resistance-training-muscle-length-and-contraction-mode-on-hamstrings-architecture-morphology-and-neuromuscular-function/?p166393,Ulster University - Belfast Campus,"Supervisors: Dr G McMahon, Dr R Kennedy",26 February 2024
"PhD Research Project: Interconnection between Exercise, DNA damage/repair and Epigenetics at Ulster University - Belfast Campus",/phds/project/interconnection-between-exercise-dna-damage-repair-and-epigenetics/?p166392,Ulster University - Belfast Campus,"Supervisors: Prof G W Davison, Dr RI Irwin, Prof C Walsh",26 February 2024
PhD Research Project: Supporting Community Cycling for Individuals with Intellectual Disabilities at Ulster University - Belfast Campus,/phds/project/supporting-community-cycling-for-individuals-with-intellectual-disabilities/?p166391,Ulster University - Belfast Campus,"Supervisors: Dr E Byrd, Prof L Taggart, Dr K Wilmut",26 February 2024
PhD Research Project: A bi-functional transcript regulates proliferation and pluripotency of embryonic stem cells at University of Edinburgh,/phds/project/a-bi-functional-transcript-regulates-proliferation-and-pluripotency-of-embryonic-stem-cells/?p166390,University of Edinburgh,Supervisor: Dr A Shkumatava,17 January 2024
"PhD Research Project: Tracing the Origins, Impacts, and Countermeasures of Disinformation in Sports at Ulster University - Belfast Campus",/phds/project/tracing-the-origins-impacts-and-countermeasures-of-disinformation-in-sports/?p166389,Ulster University - Belfast Campus,"Supervisors: Prof D Hassan, Dr C Heffernan",26 February 2024
PhD Research Project: Photonics for Net Zero Enabled by Patternable Boron-Phosphide Polymers at University of York,/phds/project/photonics-for-net-zero-enabled-by-patternable-boron-phosphide-polymers/?p166388,University of York,"Supervisors: Prof A S Weller, Dr Y Wang",3 January 2024
PhD Research Project: Co-Production and Pilot Testing a Bespoke Version of The Daily Mile to Improve Physical and Mental Health in Schoolchildren at Ulster University - Belfast Campus,/phds/project/co-production-and-pilot-testing-a-bespoke-version-of-the-daily-mile-to-improve-physical-and-mental-health-in-schoolchildren/?p166387,Ulster University - Belfast Campus,"Supervisors: Dr S Shannon, Prof D Brennan, Dr N Brick, Dr G Breslin",26 February 2024
PhD Research Project: Design of protection systems through the use of Artificial Intelligence (AI) at University of Edinburgh,/phds/project/design-of-protection-systems-through-the-use-of-artificial-intelligence-ai/?p162276,University of Edinburgh,Supervisor: Prof F Teixeira-Dias,31 January 2024
PhD Research Project: Development of Life Cycle Assessment Tools for Multi-layered pipes at Ulster University - Belfast Campus,/phds/project/development-of-life-cycle-assessment-tools-for-multi-layered-pipes/?p166386,Ulster University - Belfast Campus,Supervisor: Dr E Archer,26 February 2024
PhD Research Project: PhD Study : High Precision Printing of Biomimetic Structures for Tissue Regeneration at Ulster University - Belfast Campus,/phds/project/phd-study-high-precision-printing-of-biomimetic-structures-for-tissue-regeneration/?p166385,Ulster University - Belfast Campus,Supervisor: Dr MWC Chang,26 February 2024
PhD Research Project: Machine Learning inspired Channel Estimation in Future Wireless  Networks at Ulster University - Belfast Campus,/phds/project/machine-learning-inspired-channel-estimation-in-future-wireless-networks/?p166384,Ulster University - Belfast Campus,Supervisor: Dr AC Cheema,26 February 2024
PhD Research Project: Modular Synthesis of Medicinally Relevant Macrocycles via Cascade Ring Expansion Reactions at University of York,/phds/project/modular-synthesis-of-medicinally-relevant-macrocycles-via-cascade-ring-expansion-reactions/?p166383,University of York,Supervisor: Dr W Unsworth,21 January 2024
PhD Research Project: The effects of exercise timing and duration on energy compensations and weight loss in overweight and obesity at Ulster University - Belfast Campus,/phds/project/the-effects-of-exercise-timing-and-duration-on-energy-compensations-and-weight-loss-in-overweight-and-obesity/?p166382,Ulster University - Belfast Campus,"Supervisors: Dr C M McClean, Dr M Hutson, Dr A McNeilly, Dr SW Willis",26 February 2024
